from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
PARA2,1001,2,240,KPL__0__6230__RAIL__Rail_MTuWThF-XHol,262__0__113__UZM__1312__1312
2003,PORI1,2,0,226__0__159__TZM__304__2__304__2,KPL__1__6349__RAIL__Rail_F-XHol
8580,UPPE,2,240,111__0__141__TZM__510__1__510__1,HVL__1__3625__RAIL__Rail_MTuWThF-XHol
PORI2,2001,2,0,KPL__0__6320__RAIL__Rail_MTuWThF-XHol,220__0__165__TZM__305__2__305__2
TREN,9525,2,240,HVL__0__3822__RAIL__Rail_SaSu+Hol,114__1__404__TZM__508__508
8251,TAIT1,2,0,120__1__142__TZM__608__608,HVL__1__2635__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,160__1__436__TZM__602__1__602__1,HVL__1__3845__RAIL__Rail_SaSu+Hol
9416,SILV,2,240,115__0__129__TZM__518__518,HVL__1__3635__RAIL__Rail_MTuWThF-XHol
8140,WATE1,2,0,160__1__158__TZM__604__1__604__1,HVL__1__3635__RAIL__Rail_MTuWThF-XHol
8165,WATE1,2,0,150__1__144__TZM__431__431,HVL__1__3623__RAIL__Rail_MTuWThF-XHol
WAIK,1501,2,240,KPL__0__6240__RAIL__Rail_MTuWThF-XHol,290__0__109__UZM__706__1__706__1
8580,UPPE,2,240,111__0__419__TZM__508__508,HVL__1__3827__RAIL__Rail_SaSu+Hol
7730,7730,2,120,23__1__738__TZM__107__107,7__1__744__TZM__101__1__101__1
1147,1148,2,240,260__1__130__UZM__604__2__604__2,262__1__132__UZM__3101__2__3101__2
3000,3000,2,120,1__0__733__TZM__202__202,19__0__717__TZM__205__205
6055,6017,2,240,1__1__488__TZM__116__1__116__1,29__1__442__TZM__117__1__117__1
7083,7083,2,120,18__1__718__NBM__206__5__206__5,2__0__773__NBM__25__3__25__3
TAIT2,9251,2,0,HVL__0__3826__RAIL__Rail_SaSu+Hol,120__0__707__TZM__602__602
6720,7720,2,120,7__0__411__TZM__211__211,29__0__409__TZM__103__1__103__1
3081,3081,2,120,19__0__151__TZM__130__130,1__1__182__TZM__118__1__118__1
PARA2,1001,2,240,KPL__0__6458__RAIL__Rail_SaSu+Hol,261__0__423__UZM__4703__4703
9001,PETO1,2,0,150__1__412__TZM__415__415,HVL__1__3829__RAIL__Rail_SaSu+Hol
8140,WATE1,2,0,160__1__730__TZM__602__602,HVL__1__3867__RAIL__Rail_SaSu+Hol
8251,TAIT1,2,0,120__1__718__TZM__602__602,HVL__1__3835__RAIL__Rail_SaSu+Hol
9150,MELL,2,240,145__1__114__TZM__406__2__406__2,MEL__1__5623__RAIL__Rail_MTuWThF-XHol
PORI2,2002,2,0,KPL__0__6312__RAIL__Rail_MTuWThF-XHol,236__0__113__TZM__315__315
PORI2,2002,2,0,KPL__0__6312__RAIL__Rail_MTuWThF-XHol,236__0__113__TZM__315__1__315__1
PORI1,2002,2,0,KPL__1__7203__RAIL__Rail_MTuWThF-XHol,60e__1__100__MNM__3211__3211
9150,MELL,2,240,145__1__110__TZM__406__2__406__2,MEL__1__5619__RAIL__Rail_MTuWThF-XHol
3000,3000,2,120,1__0__761__TZM__102__102,60__0__717__MNM__1051__1051
3081,3081,2,120,60__1__146__MNM__3112__3112,1__1__232__TZM__119__1__119__1
8140,WATE1,2,0,160__1__704__TZM__601__601,HVL__1__3821__RAIL__Rail_SaSu+Hol
UPPE,8580,2,240,HVL__0__3608__RAIL__Rail_MTuWThF-XHol,113__0__101__TZM__505__3__505__3
7720,7700,2,60,29__1__704__TZM__105__105,7__1__712__TZM__115__115
8140,WATE1,2,0,170__0__453__TZM__604__604,HVL__1__3861__RAIL__Rail_Sa
PETO2,9001,2,0,HVL__0__2640__RAIL__Rail_MTuWThF-XHol,154__0__117__TZM__408__1__408__1
UPPE,8579,2,240,HVL__0__2632__RAIL__Rail_MTuWThF-XHol,110__0__127__TZM__504__2__504__2
2001,PORI1,2,0,220__0__727__TZM__303__1__303__1,KPL__1__6441__RAIL__Rail_SaSu+Hol
6055,6017,2,240,1__1__198__TZM__237__237,29__1__136__TZM__129__129
8297,TAIT1,2,0,121__1__112__TZM__426__426,HVL__1__2617__RAIL__Rail_MTuWThF-XHol
TAIT2,9251,2,0,HVL__0__3656__RAIL__Rail_MTuWThF-XHol,120__0__211__TZM__419__1__419__1
TAIT2,9251,2,0,HVL__0__3656__RAIL__Rail_MTuWThF-XHol,120__0__211__TZM__419__2__419__2
SILV,8416,2,240,HVL__0__3816__RAIL__Rail_Sa,115__0__403__TZM__506__1__506__1
2001,PORI1,2,0,220__0__113__TZM__306__2__306__2,KPL__1__8205__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__111__TZM__314__314,KPL__1__8205__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__111__TZM__314__1__314__1,KPL__1__8205__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__108__TZM__310__310,KPL__1__8205__RAIL__Rail_MTuWThF-XHol
7730,7730,2,120,23__1__720__TZM__114__114,7__1__726__TZM__101__1__101__1
8165,WATE1,2,0,150__1__116__TZM__415__1__415__1,HVL__1__2623__RAIL__Rail_MTuWThF-XHol
6224,6224,2,240,2__1__112__NBM__14__5__14__5,12__0__111__NBM__117__4__117__4
PARA2,1001,2,240,KPL__0__6418__RAIL__Rail_SaSu+Hol,261__0__403__UZM__4703__4703
7017,7017,2,120,29__0__143__TZM__129__129,1__0__239__TZM__1__2__1__2
TREN,9525,2,240,HVL__0__3616__RAIL__Rail_MTuWThF-XHol,114__1__118__TZM__524__524
TREN,9525,2,240,HVL__0__2644__RAIL__Rail_MTuWThF-XHol,114__1__114__TZM__508__1__508__1
8580,UPPE,2,240,110__1__436__TZM__512__512,HVL__1__3833__RAIL__Rail_SaSu+Hol
7083,7083,2,120,18__1__720__NBM__16__3__16__3,2__0__789__NBM__34__4__34__4
1001,PARA1,2,0,261__1__410__UZM__4704__4704,KPL__1__6435__RAIL__Rail_SaSu+Hol
PARA2,1000,2,0,KPL__0__6438__RAIL__Rail_SaSu+Hol,260__0__415__UZM__4705__4705
PORI2,2003,2,0,KPL__0__6452__RAIL__Rail_SaSu+Hol,226__0__439__TZM__308__308
PARA2,1000,2,0,KPL__0__6452__RAIL__Rail_SaSu+Hol,250__0__721__UZM__4104__4104
